"Job ID","Description","State","Start Time","Elapsed Time","User"
"train_aks-d5711a57914a44bfbf903071cc2fb1d7","train-3","Running","6/15/2022","-"," huandinh2022"
"train_aks-d5711a57914a44bfbf903071cc2fb1d7","compress-1","Success","6/15/2022","2 s"," huandinh2022"
"train_aks-d5711a57914a44bfbf903071cc2fb1d7","RB-FEA","Solve","Success","29 m, 12 s"," huandinh2022"
"train_aks-d5711a57914a44bfbf903071cc2fb1d7","compress-2","Success","6/15/2022","1 s"," huandinh2022"
"train_aks-e1c69e69ef7d4508a58daab9edc5f094","compress-1","Success","6/15/2022","2 s"," huandinh2022"
"train_aks-e1c69e69ef7d4508a58daab9edc5f094","RB-FEA","Solve","Success","10 m, 0 s"," huandinh2022"
"train_aks-e1c69e69ef7d4508a58daab9edc5f094","compress-2","Success","6/15/2022","1 s"," huandinh2022"
"train_aks-e1c69e69ef7d4508a58daab9edc5f094","train-3","Success","6/15/2022","10 m, 35 s"," huandinh2022"
"train_aks-46e8a8a6b7534b84b6416f9444804571","compress-1","Failure","6/15/2022","3 s"," huandinh2022"
"train_aks-29dd2b9901d047aca220e93d033094aa","compress-1","Failure","6/15/2022","7 s"," huandinh2022"
"train_aks-35f2adebd98b4442ba3e321ab4f1677e","compress-1","Failure","6/15/2022","3 s"," huandinh2022"
"train_aks-36dbfb5618eb40bfbe6b184152c24c3e","compress-1","Failure","6/15/2022","3 s"," huandinh2022"
"train_aks-d49ee8c7e92d4bdda25e1918bdb95e59","compress-1","Success","6/15/2022","2 s"," huandinh2022"
"train_aks-d49ee8c7e92d4bdda25e1918bdb95e59","RB-FEA","Solve","Success","24 m, 53 s"," huandinh2022"
"train_aks-d49ee8c7e92d4bdda25e1918bdb95e59","compress-2","Success","6/15/2022","2 s"," huandinh2022"
"train_aks-d49ee8c7e92d4bdda25e1918bdb95e59","train-3","Success","6/15/2022","25 m, 31 s"," huandinh2022"
"train_aks-bab37d2ffd114d578771b683945bc9c9","RB-FEA","Solve","Failure","7 m, 50 s"," huandinh2022"
"train_aks-bab37d2ffd114d578771b683945bc9c9","compress-1","Success","6/15/2022","2 s"," huandinh2022"
"train_aks-f93fa7742fbe460bbc53185d82f8013a","compress-1","Success","6/15/2022","0 s"," huandinh2022"
"train_aks-f93fa7742fbe460bbc53185d82f8013a","RB-FEA","Solve","Success","6 m, 31 s"," huandinh2022"
"train_aks-f93fa7742fbe460bbc53185d82f8013a","compress-2","Success","6/15/2022","2 s"," huandinh2022"
"train_aks-f93fa7742fbe460bbc53185d82f8013a","train-3","Success","6/15/2022","11 m, 18 s"," huandinh2022"
"train_aks-f978a8aaa18f4dff940f6bf75801fc6a","compress-1","Success","6/15/2022","0 s"," huandinh2022"
"train_aks-f978a8aaa18f4dff940f6bf75801fc6a","RB-FEA","Solve","Success","6 m, 41 s"," huandinh2022"
"train_aks-f978a8aaa18f4dff940f6bf75801fc6a","compress-2","Success","6/15/2022","2 s"," huandinh2022"
"train_aks-f978a8aaa18f4dff940f6bf75801fc6a","train-3","Success","6/15/2022","10 m, 56 s"," huandinh2022"
"train_aks-ecd2eaf80445476593999d3f41c17bc2","compress-1","Success","6/15/2022","1 s"," huandinh2022"
"train_aks-ecd2eaf80445476593999d3f41c17bc2","RB-FEA","Solve","Success","54 s"," huandinh2022"
"train_aks-ecd2eaf80445476593999d3f41c17bc2","compress-2","Success","6/15/2022","3 s"," huandinh2022"
"train_aks-ecd2eaf80445476593999d3f41c17bc2","train-3","Success","6/15/2022","1 m, 17 s"," huandinh2022"
"train_aks-2d7f7f23326840f3a8cd33913f08f5e3","compress-1","Success","6/15/2022","2 s"," huandinh2022"
"train_aks-2d7f7f23326840f3a8cd33913f08f5e3","RB-FEA","Solve","Success","1 m, 1 s"," huandinh2022"
"train_aks-2d7f7f23326840f3a8cd33913f08f5e3","compress-2","Success","6/15/2022","2 s"," huandinh2022"
"train_aks-2d7f7f23326840f3a8cd33913f08f5e3","train-3","Success","6/15/2022","53 s"," huandinh2022"
"train_aks-faa637232fbe482391c6f979438b2d1b","compress-1","Success","6/15/2022","0 s"," huandinh2022"
"train_aks-faa637232fbe482391c6f979438b2d1b","RB-FEA","Solve","Success","2 m, 22 s"," huandinh2022"
"train_aks-faa637232fbe482391c6f979438b2d1b","compress-2","Success","6/15/2022","2 s"," huandinh2022"
"train_aks-faa637232fbe482391c6f979438b2d1b","train-3","Success","6/15/2022","2 m, 12 s"," huandinh2022"
"train_aks-4de11586bcfc4e7b9485d8df0a3705c5","compress-1","Success","6/15/2022","2 s"," huandinh2022"
"train_aks-4de11586bcfc4e7b9485d8df0a3705c5","RB-FEA","Solve","Success","1 m, 2 s"," huandinh2022"
"train_aks-4de11586bcfc4e7b9485d8df0a3705c5","compress-2","Success","6/15/2022","1 s"," huandinh2022"
"train_aks-4de11586bcfc4e7b9485d8df0a3705c5","train-3","Success","6/15/2022","54 s"," huandinh2022"
"train_aks-8dd021c14ba147aa8f600906725b5528","compress-1","Success","6/15/2022","0 s"," huandinh2022"
"train_aks-8dd021c14ba147aa8f600906725b5528","RB-FEA","Solve","Success","2 m, 24 s"," huandinh2022"
"train_aks-8dd021c14ba147aa8f600906725b5528","compress-2","Success","6/15/2022","2 s"," huandinh2022"
"train_aks-8dd021c14ba147aa8f600906725b5528","train-3","Success","6/15/2022","2 m, 17 s"," huandinh2022"
"train_aks-9a9f7f471f7f4c51b1d00e1803da0161","compress-1","Success","6/15/2022","1 s"," huandinh2022"
"train_aks-9a9f7f471f7f4c51b1d00e1803da0161","RB-FEA","Solve","Success","60 s"," huandinh2022"
"train_aks-9a9f7f471f7f4c51b1d00e1803da0161","compress-2","Success","6/15/2022","0 s"," huandinh2022"
"train_aks-9a9f7f471f7f4c51b1d00e1803da0161","train-3","Success","6/15/2022","54 s"," huandinh2022"
"train_aks-07cc8f91e107441dbdda1bf058e9b881","compress-1","Success","6/15/2022","2 s"," huandinh2022"
"train_aks-07cc8f91e107441dbdda1bf058e9b881","RB-FEA","Solve","Success","2 m, 22 s"," huandinh2022"
"train_aks-07cc8f91e107441dbdda1bf058e9b881","compress-2","Success","6/15/2022","0 s"," huandinh2022"
"train_aks-07cc8f91e107441dbdda1bf058e9b881","train-3","Success","6/15/2022","2 m, 19 s"," huandinh2022"
"train_aks-0c3e26ae0172497f8836528af31d4f84","compress-1","Success","6/15/2022","2 s"," huandinh2022"
"train_aks-0c3e26ae0172497f8836528af31d4f84","RB-FEA","Solve","Success","25 s"," huandinh2022"
"train_aks-0c3e26ae0172497f8836528af31d4f84","compress-2","Success","6/15/2022","0 s"," huandinh2022"
"train_aks-0c3e26ae0172497f8836528af31d4f84","train-3","Success","6/15/2022","22 s"," huandinh2022"
"train_aks-9ff9e295dfd640cfa6ba69f4174cc0a7","compress-1","Success","6/15/2022","0 s"," huandinh2022"
"train_aks-9ff9e295dfd640cfa6ba69f4174cc0a7","RB-FEA","Solve","Success","2 m, 17 s"," huandinh2022"
"train_aks-9ff9e295dfd640cfa6ba69f4174cc0a7","compress-2","Success","6/15/2022","1 s"," huandinh2022"
"train_aks-9ff9e295dfd640cfa6ba69f4174cc0a7","train-3","Success","6/15/2022","2 m, 17 s"," huandinh2022"
"train_aks-ace08dc322b146458800ff140afaf210","compress-1","Success","6/15/2022","1 s"," huandinh2022"
"train_aks-ace08dc322b146458800ff140afaf210","RB-FEA","Solve","Success","59 s"," huandinh2022"
"train_aks-ace08dc322b146458800ff140afaf210","compress-2","Success","6/15/2022","0 s"," huandinh2022"
"train_aks-ace08dc322b146458800ff140afaf210","train-3","Success","6/15/2022","54 s"," huandinh2022"
"train_aks-a5085bef176e418c94aaa4b7d58dcfb2","compress-1","Success","6/15/2022","2 s"," huandinh2022"
"train_aks-a5085bef176e418c94aaa4b7d58dcfb2","RB-FEA","Solve","Success","2 m, 23 s"," huandinh2022"
"train_aks-a5085bef176e418c94aaa4b7d58dcfb2","compress-2","Success","6/15/2022","0 s"," huandinh2022"
"train_aks-a5085bef176e418c94aaa4b7d58dcfb2","train-3","Success","6/15/2022","2 m, 15 s"," huandinh2022"
"train_aks-f26ce79d089542beaa7f9723f12a3a94","compress-1","Success","6/15/2022","0 s"," huandinh2022"
"train_aks-f26ce79d089542beaa7f9723f12a3a94","RB-FEA","Solve","Success","60 s"," huandinh2022"
"train_aks-f26ce79d089542beaa7f9723f12a3a94","compress-2","Success","6/15/2022","2 s"," huandinh2022"
"train_aks-f26ce79d089542beaa7f9723f12a3a94","train-3","Success","6/15/2022","52 s"," huandinh2022"
"train_aks-c419d24e6a874bc696769397ac2aa968","compress-1","Success","6/15/2022","1 s"," huandinh2022"
"train_aks-c419d24e6a874bc696769397ac2aa968","RB-FEA","Solve","Success","2 m, 17 s"," huandinh2022"
"train_aks-c419d24e6a874bc696769397ac2aa968","compress-2","Success","6/15/2022","2 s"," huandinh2022"
"train_aks-c419d24e6a874bc696769397ac2aa968","train-3","Success","6/15/2022","2 m, 12 s"," huandinh2022"
"train_aks-cc603305c63d4608b2a4e5386667ac79","compress-1","Success","6/15/2022","2 s"," huandinh2022"
"train_aks-cc603305c63d4608b2a4e5386667ac79","RB-FEA","Solve","Success","1 m, 2 s"," huandinh2022"
"train_aks-cc603305c63d4608b2a4e5386667ac79","compress-2","Success","6/15/2022","1 s"," huandinh2022"
"train_aks-cc603305c63d4608b2a4e5386667ac79","train-3","Success","6/15/2022","53 s"," huandinh2022"
"train_aks-295abf018a46452cb076b6f7a971dbf5","compress-1","Success","6/15/2022","2 s"," huandinh2022"
"train_aks-295abf018a46452cb076b6f7a971dbf5","RB-FEA","Solve","Success","2 m, 24 s"," huandinh2022"
"train_aks-295abf018a46452cb076b6f7a971dbf5","compress-2","Success","6/15/2022","2 s"," huandinh2022"
"train_aks-295abf018a46452cb076b6f7a971dbf5","train-3","Success","6/15/2022","2 m, 12 s"," huandinh2022"
"train_aks-71df1b24759149be9673f104d38e02ae","compress-1","Success","6/15/2022","0 s"," huandinh2022"
"train_aks-71df1b24759149be9673f104d38e02ae","RB-FEA","Solve","Success","1 m, 1 s"," huandinh2022"
"train_aks-71df1b24759149be9673f104d38e02ae","compress-2","Success","6/15/2022","2 s"," huandinh2022"
"train_aks-71df1b24759149be9673f104d38e02ae","train-3","Success","6/15/2022","52 s"," huandinh2022"
"train_aks-50db31cc5e2942d3be9f510a39a34931","compress-1","Success","6/15/2022","1 s"," huandinh2022"
"train_aks-50db31cc5e2942d3be9f510a39a34931","RB-FEA","Solve","Success","2 m, 18 s"," huandinh2022"
"train_aks-50db31cc5e2942d3be9f510a39a34931","compress-2","Success","6/15/2022","2 s"," huandinh2022"
"train_aks-50db31cc5e2942d3be9f510a39a34931","train-3","Success","6/15/2022","2 m, 8 s"," huandinh2022"
"train_aks-1ab9977479684c4392e44d491d502ecb","compress-1","Success","6/15/2022","2 s"," huandinh2022"
"train_aks-1ab9977479684c4392e44d491d502ecb","RB-FEA","Solve","Success","60 s"," huandinh2022"
"train_aks-1ab9977479684c4392e44d491d502ecb","compress-2","Success","6/15/2022","1 s"," huandinh2022"
"train_aks-1ab9977479684c4392e44d491d502ecb","train-3","Success","6/15/2022","52 s"," huandinh2022"
"train_aks-5dd5091029584f12a9f6d497fff30ad9","compress-1","Success","6/15/2022","2 s"," huandinh2022"
"train_aks-5dd5091029584f12a9f6d497fff30ad9","RB-FEA","Solve","Success","2 m, 21 s"," huandinh2022"
"train_aks-5dd5091029584f12a9f6d497fff30ad9","compress-2","Success","6/15/2022","1 s"," huandinh2022"
"train_aks-5dd5091029584f12a9f6d497fff30ad9","train-3","Success","6/15/2022","2 m, 10 s"," huandinh2022"
"train_aks-fa1ff2f594344c3faf3e8be7429946d4","compress-1","Success","6/15/2022","2 s"," huandinh2022"
"train_aks-fa1ff2f594344c3faf3e8be7429946d4","RB-FEA","Solve","Success","60 s"," huandinh2022"
"train_aks-fa1ff2f594344c3faf3e8be7429946d4","compress-2","Success","6/15/2022","2 s"," huandinh2022"
"train_aks-fa1ff2f594344c3faf3e8be7429946d4","train-3","Success","6/15/2022","50 s"," huandinh2022"
